Data;2019;2020;;var 2020;;
01-01-2020;371;376;;8,986%;;5
02-01-2020;385;381;;1,330%;;
03-01-2020;367;374;;-1,837%;;
04-01-2020;371;364;;-2,674%;;
05-01-2020;367;334;;-8,242%;;
06-01-2020;409;364;;8,982%;;
07-01-2020;414;382;;4,945%;;
08-01-2020;376;385;;0,785%;;
09-01-2020;417;380;;-1,299%;;
10-01-2020;437;377;;-0,789%;;
11-01-2020;408;378;;0,265%;;
12-01-2020;431;405;;7,143%;;
13-01-2020;416;405;;0,000%;;
14-01-2020;483;397;;-1,975%;;
15-01-2020;414;426;;7,305%;;
16-01-2020;445;388;;-8,920%;;
17-01-2020;413;389;;0,258%;;
18-01-2020;415;388;;-0,257%;;
19-01-2020;403;382;;-1,546%;;
20-01-2020;414;375;;-1,832%;;
21-01-2020;408;356;;-5,067%;;
22-01-2020;436;379;;6,461%;;
23-01-2020;445;402;;6,069%;;
24-01-2020;457;380;;-5,473%;;
25-01-2020;439;413;;8,684%;;
26-01-2020;416;374;;-9,443%;;
27-01-2020;433;412;;10,160%;;
28-01-2020;434;375;;-8,981%;;
29-01-2020;445;367;;-2,133%;;
30-01-2020;425;378;;2,997%;;
31-01-2020;431;392;;3,704%;;
01-02-2020;401;382;;-2,551%;;
02-02-2020;398;383;;0,262%;;
03-02-2020;370;399;;4,178%;;
04-02-2020;382;379;;-5,013%;;
05-02-2020;415;356;;-6,069%;;
06-02-2020;427;344;;-3,371%;;
07-02-2020;394;352;;2,326%;;
08-02-2020;383;337;;-4,261%;;
09-02-2020;404;330;;-2,077%;;
10-02-2020;381;331;;0,303%;;
11-02-2020;447;324;;-2,115%;;
12-02-2020;388;336;;3,704%;;
13-02-2020;367;333;;-0,893%;;
14-02-2020;389;316;;-5,105%;;
15-02-2020;391;331;;4,747%;;
16-02-2020;378;311;;-6,042%;;
17-02-2020;363;362;;16,399%;;
18-02-2020;368;313;;-13,536%;;
19-02-2020;395;340;;8,626%;;
20-02-2020;333;317;;-6,765%;;
21-02-2020;377;350;;10,410%;;
22-02-2020;346;352;;0,571%;;
23-02-2020;381;330;;-6,250%;;
24-02-2020;355;333;;0,909%;;
25-02-2020;354;328;;-1,502%;;
26-02-2020;361;316;;-3,659%;;
27-02-2020;331;357;;12,975%;;
28-02-2020;353;317;;-11,204%;;
29-02-2020;;319;;0,631%;;
01-03-2020;352;333;;4,389%;;
02-03-2020;340;312;;-6,306%;;
03-03-2020;355;328;;5,128%;;
04-03-2020;353;300;;-8,537%;;
05-03-2020;335;305;;1,667%;;
06-03-2020;318;314;;2,951%;;
07-03-2020;335;321;;2,229%;;
08-03-2020;333;301;;-6,231%;;
09-03-2020;339;337;;11,960%;;
10-03-2020;334;339;;0,593%;;
11-03-2020;334;349;;2,950%;;
12-03-2020;338;344;;-1,433%;;
13-03-2020;320;346;;0,581%;;
